"Treatment","Mediator","Outcome","ACME_estimate","ADE_estimate","ACME_pval","ADE_pval","ACME_adjpval","ADE_adjpval","ACME_CI_lower","ACME_CI_upper","ADE_CI_lower","ADE_CI_upper"
"sex","ASV20","SP5Y",0.205416339162211,-1.23634662239004,0.032,0.004,1,0.0187042253521127,0.0220096945869488,0.396500309805348,-2.01495458325317,-0.409178266490787
"sex","ASV54","SP5Y",0.0454597694052049,-1.1117169415077,0.046,0.002,1,0.0187042253521127,0,0.159429437124586,-1.90375672538249,-0.307368016293163
"sex","ASV62","SP5Y",0.0114057934716416,-1.06374393781352,0.146,0.01,1,0.0187042253521127,-0.0047837780831292,0.0671283948582885,-1.86482065028602,-0.286443253072333
"sex","ASV33","SP5Y",-0.0352403303973275,-1.01846323087008,0.184,0.024,1,0.0249,-0.107635306346038,0.0207061912865195,-1.88980556356681,-0.188763002821857
"sex","ASV35","SP5Y",-0.0985005780335138,-0.946384734572148,0.204,0.016,1,0.0187042253521127,-0.241955476655044,0.0468137141565878,-1.79804652574966,-0.161785409427934
"sex","ASV86","SP5Y",0.0311887283706811,-1.08213295998597,0.322,0.016,1,0.0187042253521127,-0.0279991633417503,0.115626521651053,-1.9282784875991,-0.275858373466717
"sex","ASV106","SP5Y",-0.0189485755651004,-1.03694210017504,0.356,0.012,1,0.0187042253521127,-0.0596964687675738,0.044088889586025,-1.84877339447308,-0.238164795131854
"sex","ASV57","SP5Y",-0.0328836341054727,-1.01409936702886,0.364,0.01,1,0.0187042253521127,-0.099070861456076,0.109529707979848,-1.86969190430968,-0.175912682274583
"sex","ASV56","SP5Y",-0.0179428784526442,-1.03511335402261,0.39,0.008,1,0.0187042253521127,-0.0628270820379273,0.0370710020737021,-1.83621947150034,-0.242632166723553
"sex","ASV4","SP5Y",-0.0320699947888692,-1.02087037077049,0.414,0.016,1,0.0187042253521127,-0.142214975459098,0.0462869103949389,-1.9064614803467,-0.167407463027951
"sex","ASV55","SP5Y",4.41963748683451e-05,-1.05199599765615,0.424,0.008,1,0.0187042253521127,-0.177713659668792,0.00561875169989262,-1.88603746882557,-0.212679547839659
"sex","ASV41","SP5Y",0.0432257106583876,-1.0947504725753,0.45,0.006,1,0.0187042253521127,-0.0804211733314053,0.205436887517787,-1.93690420886064,-0.28681882947439
"sex","ASV38","SP5Y",-0.0215583261688754,-1.03267355266903,0.462,0.004,1,0.0187042253521127,-0.100615465678855,0.0430284383431135,-1.84449376451997,-0.253314991887464
"sex","ASV24","SP5Y",-0.0243735446014878,-1.03184318905976,0.468,0.026,1,0.026,-0.10585100754595,0.0425375868271965,-1.82514029125921,-0.184766159842879
"sex","ASV22","SP5Y",0.000521630519602683,-1.05318682924804,0.484,0.006,1,0.0187042253521127,-0.0201121435841575,0.10789321664689,-1.90872075470277,-0.259372066341374
"sex","ASV26","SP5Y",0.038569432999792,-1.08997922001785,0.498,0.01,1,0.0187042253521127,-0.0827030188460346,0.194731602316334,-1.87039776767365,-0.312846272231942
"sex","ASV63","SP5Y",0.0135087433420805,-1.0676852435645,0.524,0.016,1,0.0187042253521127,-0.0630648183869013,0.0480433395809795,-1.91103802864613,-0.178374691687717
"sex","ASV16","SP5Y",0.050733931531649,-1.10368955484219,0.532,0,1,0,-0.119870273702043,0.163205570292713,-1.86751018093284,-0.321482846333838
"sex","ASV28","SP5Y",0.0542453148183711,-1.09698550461316,0.532,0.01,1,0.0187042253521127,-0.0793569261001167,0.218598305007013,-1.88118605161004,-0.28495512240427
"sex","ASV14","SP5Y",-0.00744370029096472,-1.04525991873741,0.554,0.016,1,0.0187042253521127,-0.125264336696617,0.0277772146765411,-1.87468780128906,-0.238365765305185
"sex","ASV25","SP5Y",0.00641028586612983,-1.05894932622811,0.556,0.016,1,0.0187042253521127,-0.0236952622277342,0.122948554786443,-1.87771145956331,-0.21816286242551
"sex","ASV15","SP5Y",0.0278871524045274,-1.08180481678966,0.558,0.01,1,0.0187042253521127,-0.0478119679579393,0.138443627950564,-1.86903552196254,-0.295502929902179
"sex","ASV68","SP5Y",-0.02662212046755,-1.03268615332591,0.562,0.02,1,0.0212820512820513,-0.078698189459093,0.141657026186236,-1.84341632200864,-0.255886946613131
"sex","ASV8","SP5Y",0.0152417302566448,-1.06781584438481,0.566,0.01,1,0.0187042253521127,-0.0298805523149085,0.0878999871165976,-1.92405692628186,-0.270367527448156
"sex","ASV2","SP5Y",-0.0219162541367817,-1.03023728011698,0.602,0.01,1,0.0187042253521127,-0.138794528029083,0.0674978009576759,-1.96146818241476,-0.200706242246653
"sex","ASV53","SP5Y",-0.0013880078890303,-1.05152765966714,0.606,0.012,1,0.0187042253521127,-0.0725644691353094,0.032404397085443,-1.83903275463467,-0.241774156460157
"sex","ASV50","SP5Y",0.00143101355657016,-1.05424276812453,0.608,0.014,1,0.0187042253521127,-0.0253161169730645,0.0750248073664032,-1.9045504179513,-0.272147200515977
"sex","ASV133","SP5Y",-0.0124282206960588,-1.03974708549203,0.638,0.01,1,0.0187042253521127,-0.0728400141018078,0.0453196689926202,-1.82988379700295,-0.253171290001132
"sex","ASV10","SP5Y",5.01725825750676e-05,-1.05244385041986,0.642,0.014,1,0.0187042253521127,-0.127367446103756,0.0305569355928239,-1.89867917180179,-0.228426541990605
"sex","ASV59","SP5Y",-0.0171049062561952,-1.03870088287079,0.644,0.004,1,0.0187042253521127,-0.0657984538051197,0.0642689014178952,-1.88505387229861,-0.27233023250254
"sex","ASV81","SP5Y",0.00658547233586841,-1.06022238192425,0.644,0.022,1,0.0231139240506329,-0.104165843941088,0.0278285999113494,-1.80577618759505,-0.159308330090692
"sex","ASV2","SP5Y",-0.0219273569433776,-1.03075919983909,0.666,0.016,1,0.0187042253521127,-0.123157701145183,0.0717018570778233,-1.89384702920916,-0.189421723722233
"sex","ASV85","SP5Y",-0.0154055664025756,-1.04168806501786,0.672,0.012,1,0.0187042253521127,-0.0835948018419895,0.0500874703412942,-1.91623511381718,-0.245880719120833
"sex","ASV27","SP5Y",-0.0125819486986485,-1.04080314492762,0.69,0.01,1,0.0187042253521127,-0.0654006964588255,0.0609685094422009,-1.79381168991456,-0.259673644536748
"sex","ASV72","SP5Y",0.0147910121980426,-1.06773954651214,0.7,0.006,1,0.0187042253521127,-0.0707010682821636,0.0890208748675946,-1.87438992597453,-0.256117491359028
"sex","ASV17","SP5Y",0.00227330373274977,-1.05533799886828,0.712,0.008,1,0.0187042253521127,-0.069604922893182,0.118219020695519,-1.85840319000686,-0.286268579070375
"sex","ASV34","SP5Y",0.0141787993263845,-1.06640676605205,0.726,0.02,1,0.0212820512820513,-0.0625413022970352,0.132161399521248,-1.84153406600113,-0.252233965470961
"sex","ASV29","SP5Y",-0.00549765972937038,-1.04167922044657,0.732,0.026,1,0.026,-0.11346835178126,0.070948703081788,-1.79265424967874,-0.195755169491241
"sex","ASV40","SP5Y",-0.00804197272321878,-1.0445990108521,0.738,0.014,1,0.0187042253521127,-0.0661063763604061,0.019214400506892,-1.88300860200327,-0.222169361791174
"sex","ASV18","SP5Y",0.0118245435034976,-1.06574295846672,0.746,0.006,1,0.0187042253521127,-0.057647388473559,0.0666371159430359,-1.93420694815338,-0.299711719909674
"sex","ASV13","SP5Y",-0.00744511905802081,-1.0442417316236,0.752,0.016,1,0.0187042253521127,-0.0706379780145441,0.0470344854891428,-1.86670911156839,-0.22723393841929
"sex","ASV7","SP5Y",-0.0190550864498643,-1.03377204277265,0.762,0.014,1,0.0187042253521127,-0.117935015030957,0.0936044867122577,-1.86265421902346,-0.286109597638576
"sex","ASV23","SP5Y",-0.0117841069637576,-1.04081374954787,0.784,0.014,1,0.0187042253521127,-0.116250185481078,0.0717997883253951,-1.86943652726746,-0.178004564756535
"sex","ASV11","SP5Y",-0.00758548239959336,-1.04451349362468,0.786,0.008,1,0.0187042253521127,-0.0911525035744646,0.0430321158038057,-1.87991221184872,-0.249445177991395
"sex","ASV67","SP5Y",-0.00970121763351951,-1.04424940618161,0.798,0.014,1,0.0187042253521127,-0.116686028461871,0.0501169870484536,-1.87026283675306,-0.206207266456802
"sex","ASV21","SP5Y",-0.0205970681222071,-1.02879513696099,0.834,0.018,1,0.0204657534246575,-0.0581352738833601,0.0978068220465874,-1.88649949980175,-0.176960794272532
"sex","ASV12","SP5Y",-0.00295599231845421,-1.0509281866453,0.836,0.006,1,0.0187042253521127,-0.073726592528056,0.0517535124993578,-1.88992256327895,-0.264477570117322
"sex","ASV51","SP5Y",0.00525130140551977,-1.0582372995178,0.836,0.006,1,0.0187042253521127,-0.0455463473722587,0.0831791672271857,-1.88745133677332,-0.248125015435999
"sex","ASV1","SP5Y",0.00201832950239553,-1.05484878355644,0.842,0.004,1,0.0187042253521127,-0.0443496444481581,0.067080584842476,-1.87906086472749,-0.297017662444597
"sex","ASV48","SP5Y",0.00501758110132785,-1.05780905005693,0.856,0.02,1,0.0212820512820513,-0.0569691359702611,0.0268058981966708,-1.94263021730385,-0.171294008448669
"sex","ASV111","SP5Y",0.000759684823182374,-1.05325919278553,0.87,0.026,1,0.026,-0.0594828809278043,0.0332012348735337,-1.88720730835793,-0.177560438811513
"sex","ASV1","SP5Y",0.00201833660096915,-1.05485249351671,0.886,0.012,1,0.0187042253521127,-0.0451440126074965,0.0771486114784575,-1.86822049292899,-0.263678475596823
"sex","ASV37","SP5Y",0.00714817396414212,-1.06588617992063,0.888,0.01,1,0.0187042253521127,-0.0806653771986491,0.135564985027372,-1.87236242725907,-0.282926473545855
"sex","ASV45","SP5Y",0.000153003885100162,-1.05288408753513,0.89,0.006,1,0.0187042253521127,-0.030406084194223,0.0529222680052572,-1.90626598640086,-0.235450687459459
"sex","ASV32","SP5Y",-0.00771854534208005,-1.04518980878147,0.904,0.002,1,0.0187042253521127,-0.0617839412237103,0.0606450859964384,-1.89905107469977,-0.227197357125056
"sex","ASV5","SP5Y",0.000560604888971887,-1.05334151754563,0.904,0.008,1,0.0187042253521127,-0.0741000986505621,0.0486080391535841,-1.86163639095348,-0.238811323738931
"sex","ASV36","SP5Y",-0.00453492559775201,-1.0472353265098,0.908,0.012,1,0.0187042253521127,-0.0869819208331549,0.071075621608973,-1.85603099780693,-0.256426490845878
"sex","ASV89","SP5Y",0.00538738304495406,-1.05777805612526,0.92,0.02,1,0.0212820512820513,-0.109872813604155,0.0339513399377058,-1.87234114422378,-0.175870370666259
"sex","ASV66","SP5Y",-0.00721135630220569,-1.05012070421354,0.924,0.016,1,0.0187042253521127,-0.0902762205958056,0.145182174466007,-1.86422557164179,-0.257808999079744
"sex","ASV46","SP5Y",-1.03161015997108e-05,-1.05279850809785,0.924,0.006,1,0.0187042253521127,-0.0413387252828108,0.0656366257300085,-1.83982583389833,-0.254872437870828
"sex","ASV49","SP5Y",-0.00033663910051501,-1.05278733138054,0.928,0.01,1,0.0187042253521127,-0.0393018661188399,0.0525932683973249,-1.84104877636264,-0.19924824397574
"sex","ASV3","SP5Y",-0.00088240053511231,-1.05171029158927,0.938,0.01,1,0.0187042253521127,-0.083794849038316,0.0637537699513395,-1.88469104825639,-0.173274417887523
"sex","ASV3","SP5Y",-0.000882457836654019,-1.05177858780944,0.946,0.006,1,0.0187042253521127,-0.0785849396186678,0.0629496674458164,-1.85978839512985,-0.289679079913043
"sex","ASV58","SP5Y",0.00169849997900685,-1.05444972738869,0.946,0.01,1,0.0187042253521127,-0.0642818260770392,0.0687349041451926,-1.84703194562264,-0.256289999607327
"sex","ASV19","SP5Y",0.00678541681477161,-1.05993564644346,0.958,0.016,1,0.0187042253521127,-0.109617245901149,0.0497642505774808,-1.86915867264797,-0.237624186562591
"sex","ASV6","SP5Y",0.00384133107651473,-1.05607942302615,0.96,0.012,1,0.0187042253521127,-0.071755407264178,0.086059195676597,-1.86076737667991,-0.240527974973248
"sex","ASV52","SP5Y",-0.00131373615164301,-1.05338094883854,0.964,0.006,1,0.0187042253521127,-0.0746557900715203,0.0664811769510828,-1.93479830087554,-0.243828940720689
"sex","ASV144","SP5Y",-0.00308178748289639,-1.04858179859546,0.966,0.006,1,0.0187042253521127,-0.0380819829608831,0.117659782869674,-1.88361139375492,-0.27100345670618
"sex","ASV65","SP5Y",0.00122870312380897,-1.05627421616335,0.982,0.004,1,0.0187042253521127,-0.091320811132129,0.121279404529218,-1.88900316685381,-0.314554463876934
"sex","ASV39","SP5Y",0.00145263350484191,-1.05427725459364,0.982,0.008,1,0.0187042253521127,-0.0655593011026965,0.0957676390844436,-1.86702812870981,-0.251974364248185
"sex","ASV9","SP5Y",-0.00399930534952838,-1.04864061589818,0.996,0.012,1,0.0187042253521127,-0.0779744958970685,0.0743077537688889,-1.87118467024682,-0.273476904846029
"sex","ASV95","SP5Y",0.000608742854671523,-1.0529840448812,0.998,0.008,1,0.0187042253521127,-0.0558608156638439,0.0873624732743239,-1.84206516278213,-0.208962984866956
"sex","ASV31","SP5Y",0,-1.05278954802281,1,0.002,1,0.0187042253521127,0,0,-1.8670930106624,-0.298973549297516
"sex","ASV60","SP5Y",0,-1.05278954802281,1,0.016,1,0.0187042253521127,0,0,-1.92678490773492,-0.285524056840837
"sex","ASV71","SP5Y",0,-1.05278954802281,1,0.006,1,0.0187042253521127,0,0,-1.89542805727454,-0.299444173630709
"sex","ASV92","SP5Y",0,-1.05278954802281,1,0.012,1,0.0187042253521127,0,0,-1.8421814885958,-0.168720810859965
"sex","ASV105","SP5Y",0,-1.05278954802281,1,0.01,1,0.0187042253521127,0,0,-1.85446099940685,-0.288128881021772
"sex","ASV109","SP5Y",0,-1.05278954802281,1,0.012,1,0.0187042253521127,0,0,-1.88666447079513,-0.213845967118845
"sex","ASV112","SP5Y",0,-1.05278954802281,1,0.012,1,0.0187042253521127,0,0,-1.92802209162782,-0.276355947268604
"sex","ASV127","SP5Y",0,-1.05278954802281,1,0.018,1,0.0204657534246575,0,0,-1.8734241988268,-0.218701785689427
"sex","ASV78","SP5Y",0,-1.05278954802281,1,0.008,1,0.0187042253521127,0,0,-1.84492960038644,-0.185035373650543
"sex","ASV83","SP5Y",0,-1.05278954802281,1,0.02,1,0.0212820512820513,0,0,-1.88096988895857,-0.16692268354689
"sex","ASV143","SP5Y",0,-1.05278954802281,1,0.014,1,0.0187042253521127,0,0,-1.85577184507546,-0.213424778121837
